Hearing_group,Species,Species_group,Study,Area,Source,Sound_source,Sound_source_position,Sound_source_depth,Frequency_reported,Duration,RL,RL_unit,RL_measured_or_estimated,Source_range,Number_individuals,Sex,Age_yr,PriorBehavior,Behavioural_response,Highest_severity_scale ,Behavior2,Displacement_avoidance ,Acoustic_change_type
Mid-frequency,Sperm whale,Sperm whale,"Miller et al 2012, 2011, Wensveen 2012, Sivle et al. 2012",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",141,rms,Measured,up to 8 km,1,,,Foraging,Moderate cessation of foraging; switch to travel.,6,High,Avoidance,Not measured/reported
Mid-frequency,Sperm whale,Sperm whale,"Miller et al 2012, 2011, Wensveen 2012, Sivle et al. 2012",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",141,rms,Measured,up to 8 km,1,,,Traveling,Minor change in locomotion direction; not avoidance.,3,Low,Not-avoidance,Not measured/reported
Mid-frequency,Sperm whale,Sperm whale,"Miller et al 2012, 2011, Wensveen 2012, Sivle et al. 2012",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",141,rms,Measured,up to 8 km,1,,,Foraging,Moderate change in dive profile (breaks off descent of foraging dive and switches to resting dives).,4,Moderate,Not-avoidance,Not measured/reported
Mid-frequency,Sperm whale,Sperm whale,"Miller et al 2012, 2011, Wensveen 2012, Sivle et al. 2012",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",154,rms,Measured,up to 8 km,1,,,Traveling,"Another minor change in locomotion direction, not avoidance, at closest point of approach.",3,Low,Not-avoidance,Not measured/reported
Mid-frequency,Sperm whale,Sperm whale,"Miller et al 2012, 2011, Wensveen 2012, Sivle et al. 2012",Norway,MFAS,Mid-frequency sonar,Moving (approaching),,6 - 7 kHz,"1 s, 20 s interval between pings (over 10 min)",151,rms,Measured,up to 8 km,1,,,,No scored response.,,,Not measured/reported,Not measured/reported
Mid-frequency,Sperm whale,Sperm whale,"Miller et al 2012, 2011, Wensveen 2012, Sivle et al. 2012",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",126,rms,Measured,up to 8 km,1,,,Foraging,Moderate change in dive profile; unusual shallow dives during surfacing period.,4,Moderate,Not-avoidance,Not measured/reported
Mid-frequency,Sperm whale,Sperm whale,"Miller et al 2012, 2011, Wensveen 2012, Sivle et al. 2012",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",161,rms,Measured,up to 8 km,1,,,Traveling,Brief avoidance of sound source; whale turned around to move away from path of oncoming source.,4,Moderate,Avoidance,Not measured/reported
Mid-frequency,Sperm whale,Sperm whale,"Miller et al 2012, 2011, Wensveen 2012, Sivle et al. 2012",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",161,rms,Measured,up to 8 km,1,,,,Moderate change of vocal behavior (less clicking and no buzzes during exposure).,4,Moderate,Not-avoidance,Vocalization Rate Decrease
Mid-frequency,Sperm whale,Sperm whale,"Miller et al 2012, 2011, Wensveen 2012, Sivle et al. 2012",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",161,rms,Measured,up to 8 km,1,,,Foraging,Aborted feeding dive with little clicking during ascent. Moderate cessation of feeding; switch to travel.,6,High,Avoidance,Vocalization Rate Decrease
Mid-frequency,Sperm whale,Sperm whale,"Miller et al 2012, 2011, Wensveen 2012, Sivle et al. 2012",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",110,rms,Measured,up to 8 km,1,,,Foraging,Brief orientation response. Wiggle on the dive profile; the rest of the dive looks like a normal foraging dive.,1,Low,Not-avoidance,Not measured/reported
Mid-frequency,Sperm whale,Sperm whale,"Miller et al 2012, 2011, Wensveen 2012, Sivle et al. 2012",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",166,rms,Measured,up to 8 km,1,,,Traveling,Brief avoidance: change of direction away from source.,4,Moderate,Avoidance,Not measured/reported
Various,"Humpback, Minke and northern bottlenose whale",Various,"Kvadsheim et al. 2011, 2012",,MFAS,Mid-frequency sonar,Moving,,,,,,,,,,,,,,,Not measured/reported,Not measured/reported
Mid-frequency,Blainvilles beaked whale,Beaked whale,Pirotta et al. 2012,"Tongue of the Ocean, Bahamas",Continuous,Vessel ,Stationary,,0.1 - 48 kHz,1 - 2 min of controled intervals,135,rms,Both,5.2 km,Several,,,Foraging,"Significant changes in the natural foraging behavior of
Blainville’s beaked whales,  significantly affecting individuals up to at least 5.2 kilometers away from the sound source. The observed change could potentially correspond to a restriction in the movement of groups, a period of more directional travel, a reduction in the number of individuals clicking within the group, or a response to changes in prey movement.",6,High,Avoidance*,Vocalization cessation
Low-frequency,Humpback whale,Mysticetes,Risch et al. 2012 (but see Gong et al. 2014),"Stellwagen Bank National Marine Sanctuary, US",LFAS,Low Frequency Sonar,Stationary,,"bandwidth of roughly 50 Hz, center frequencies approx. 415, 735, 950 Hz",1 s,110,rms,Measured,200 km,Several,Male,,Socializing ,Reduction of songs (male humpback whales either moved out of the study area or sang less). Less humpback whale song were detected during OAWRS signal transmissions than at other times. Data provided  evidence for the reduction of humpback whale song in response to the reception of OAWRS pulses; this was interpreted as a change in singing behavior by individual whales.,4,Moderate,Avoidance*,Vocalization cessation
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,119,rms,Estimated,,1,Male,14,Traveling,"Males seemed less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",0,Low,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,121,rms,Estimated,,1,Male,33,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",0,Low,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,125,rms,Estimated,,1,Male,20,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",0,Low,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,121,rms,Estimated,,1,Male,40,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",2,Low,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,126,rms,Estimated,,1,Male,20,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",2,Low,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,137,rms,Estimated,,1,Male,10,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",2,Low,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,128,rms,Estimated,,1,Female,49,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",2,Low,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,114,rms,Estimated,,1,Male,24,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",2,Low,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,138,rms,Estimated,,1,Male,15,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",2,Low,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,150,rms,Estimated,,1,Male,17,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",2,Low,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,130,rms,Estimated,,1,Male,38,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",2,Low,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,129,rms,Estimated,,1,Male,17,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",2,Low,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,128,rms,Estimated,,1,Male,27,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",2,Low,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,127,rms,Estimated,,1,Female,5,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",2,Low,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,123,rms,Estimated,,1,Male,27,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",2,Low,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,116,rms,Estimated,,1,Male,33,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",3,Low,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,129,rms,Estimated,,1,Male,20,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",3,Low,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,124,rms,Estimated,,1,Male,33,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",3,Low,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,123,rms,Estimated,,1,Male,31,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",3,Low,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,129,rms,Estimated,,1,Male,25,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",3,Low,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,138,rms,Estimated,,1,Male,31,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",3,Low,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,150,rms,Estimated,,1,Male,20,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",3,Low,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,126,rms,Estimated,,1,Male,24,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",3,Low,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,127,rms,Estimated,,1,Male,17,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",3,Low,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,141,rms,Estimated,,1,Male,31,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",3,Low,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,129,rms,Estimated,,1,Male,38,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",3,Low,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,128,rms,Estimated,,1,Female,49,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",3,Low,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,116,rms,Estimated,,1,Female,25,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",4,Moderate,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,131,rms,Estimated,,1,Female,49,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",4,Moderate,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,130,rms,Estimated,,1,Female,73,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",4,Moderate,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,139,rms,Estimated,,1,Male,18,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",4,Moderate,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,127,rms,Estimated,,1,Male,31,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",4,Moderate,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,134,rms,Estimated,,1,Male,27,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",4,Moderate,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,135,rms,Estimated,,1,Female,63,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",5,Moderate,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,134,rms,Estimated,,1,Male,16,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",5,Moderate,Not-avoidance,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,123,rms,Estimated,,1,Male,16,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",,,Not measured/reported,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,125,rms,Estimated,,1,Male,16,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",,,Not measured/reported,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,132,rms,Estimated,,1,Male,16,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",,,Not measured/reported,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,118,rms,Estimated,,1,Male,16,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",,,Not measured/reported,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,104,rms,Estimated,,1,Male,16,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",,,Not measured/reported,Not measured/reported
Mid-frequency,Killer whale,Killer whale,Williams et al. 2014,"British Columbia, Canada",Continuous,Vessel ,Moving,,10 Hz - 50 kHz,,133,rms,Estimated,,1,Male,16,Traveling,"Males seemed to less likely to respond than females there was an increasing probability of response as received level increased. Authors reported that whales had a 50% chance of responding to ship noise at broadband (10 Hz - 50 kHz) received levels of  130 dB re 1 µPa root-mean-square (rms), but there is large uncertainty around that estimate. Behavioral responses were best explained by combinations of time (Year and Month), age of the individual, number of ships, and RL.",,,Not measured/reported,Not measured/reported
